Match,Actual Winner,Actual Score,OPAA Pick,OPAA Score,OPAA Status,OPAA Pts,😁 Pick,😁 Score,😁 Status,😁 Pts,RiverPlateSV Pick,RiverPlateSV Score,RiverPlateSV Status,RiverPlateSV Pts
"Davidovich Fokina vs Džumhur",Davidovich Fokina,3-2,Davidovich Fokina,3-1,✅,1,Davidovich Fokina,3-0,✅,1,Davidovich Fokina,3-1,✅,1
"Droguet vs Menšik",Menšik,3-0,Menšik,1-3,✅,1,Menšik,1-3,✅,1,Droguet,3-1,❌,0
"Etcheverry vs Borges",Borges,3-0,Borges,2-3,✅,1,Borges,1-3,✅,1,Etcheverry,3-1,❌,0
"Zheng vs Prižmić",Prižmić,3-0,Prižmić,1-3,✅,1,Prižmić,1-3,✅,1,Prižmić,1-3,✅,1
"Halys vs Bellucci",Halys,3-0,Bellucci,2-3,❌,0,Bellucci,1-3,❌,0,Bellucci,1-3,❌,0
"Fonseca vs Pavlović",Fonseca,3-0,Fonseca,3-0,✅✅,6,Fonseca,3-0,✅✅,6,Fonseca,3-0,✅✅,6
"Medjedović vs Hanfmann",Medjedović,3-2,Medjedović,3-0,✅,1,Medjedović,3-0,✅,1,Medjedović,3-0,✅,1
"Blockx vs Wong",Blockx,3-0,Blockx,3-2,✅,1,Blockx,3-0,✅✅,6,Wong,2-3,❌,0
"Fritz vs Basavareddy",Fritz,3-2,Basavareddy,1-3,❌,0,Fritz,3-2,✅✅,6,Fritz,3-2,✅✅,6
"Sonego vs Herbert",Sonego,3-2,Sonego,3-0,✅,1,Sonego,3-0,✅,1,Sonego,3-0,✅,1
"Dellien vs Royer",Royer,3-0,Dellien,3-1,❌,0,Dellien,3-1,❌,0,Dellien,3-2,❌,0
"Duckworth vs Diallo",Diallo,RET,Diallo,0-3,✅,1,Diallo,0-3,✅,1,Diallo,1-3,✅,1
"Mpetshi Perricard vs Djokovic",Djokovic,3-1,Djokovic,1-3,✅,1,Djokovic,0-3,✅,1,Djokovic,0-3,✅,1
"Khachanov vs Gea",Khachanov,3-0,Khachanov,3-0,✅✅,6,Khachanov,3-0,✅✅,6,Khachanov,3-2,✅,1
"Kecmanović vs Marozsán",Kecmanović,3-0,Marozsán,2-3,❌,0,Kecmanović,3-2,✅,1,Marozsán,2-3,❌,0
"Llamas Ruiz vs Tirante",Tirante,3-1,Tirante,2-3,✅,1,Tirante,2-3,✅,1,Tirante,0-3,✅,1
"Jacquet vs Trungelliti",Trungelliti,3-0,Jacquet,3-2,❌,0,Trungelliti,2-3,✅,1,Jacquet,3-2,❌,0
"Machač vs Bergs",Machač,3-0,Machač,3-1,✅,1,Machač,3-1,✅,1,Machač,3-1,✅,1
"Bonzi vs Zverev",Zverev,3-0,Zverev,2-3,✅,1,Zverev,2-3,✅,1,Bonzi,3-2,❌,0
"Cinà vs Opelka",Opelka,3-2,Opelka,0-3,✅,1,Opelka,0-3,✅,1,Opelka,0-3,✅,1
TOTAL,--,--,--,--,--,25,--,--,--,38,--,--,--,22
